Keyword,Parameter Type,Sub-Category,Distance,Fare Range,Search Intent,Priority,Customer Value,Notes
Varanasi airport to Dashashwamedh ghat cab,Service Type,Airport Transfer,Varies,₹700-₹950,High,Medium,High Frequency,Service-specific targeting
Varanasi local taxi,Service Type,Local Sightseeing,Varies,"₹1,100-₹2,200",Very High,High,High Frequency,Service-specific targeting
Kashi darshan cab,Service Type,Local Sightseeing,Varies,"₹1,100-₹2,200",Very High,High,Medium,Service-specific targeting
Varanasi sightseeing taxi,Service Type,Local Sightseeing,Varies,"₹1,500-₹2,300",High,Medium,Medium,Service-specific targeting
Varanasi full day cab,Service Type,Local Sightseeing,Varies,"₹1,850-₹2,500",High,Medium,Medium,Service-specific targeting
Varanasi half day taxi,Service Type,Local Sightseeing,Varies,"₹1,100-₹1,400",Medium,Medium,Medium,Service-specific targeting
Varanasi temple tour cab,Service Type,Local Sightseeing,Varies,"₹1,100-₹2,200",High,Medium,Medium,Service-specific targeting
one way taxi Varanasi,Service Type,One Way & Round Trip,Varies,₹9-11/km,High,Medium,Medium,Service-specific targeting
one way cab from Varanasi,Service Type,One Way & Round Trip,Varies,₹9-11/km,High,Medium,Medium,Service-specific targeting
round trip taxi Varanasi,Service Type,One Way & Round Trip,Varies,₹8-15/km,Medium,Medium,Medium,Service-specific targeting
Varanasi outstation cab,Service Type,One Way & Round Trip,Varies,₹9-17/km,High,Medium,Medium,Service-specific targeting
Char Dham taxi from Varanasi,Use Case/Purpose,Religious/Pilgrimage,Varies,"₹32,000-₹42,000",High,Medium,Very High,Specific customer intent
Varanasi to Char Dham yatra cab,Use Case/Purpose,Religious/Pilgrimage,Varies,"₹32,000-₹42,000",High,Medium,Very High,Specific customer intent
Kashi Vishwanath temple taxi,Use Case/Purpose,Religious/Pilgrimage,Varies,"₹600-₹1,000",Very High,High,Medium,Specific customer intent
Varanasi ghat taxi service,Use Case/Purpose,Religious/Pilgrimage,Varies,"₹600-₹1,000",High,Medium,Medium,Specific customer intent
Sarnath taxi from Varanasi,Use Case/Purpose,Religious/Pilgrimage,Varies,"₹800-₹1,200",High,Medium,Medium,Specific customer intent
corporate cab service Varanasi,Use Case/Purpose,Corporate/Business,Varies,₹11-18/km,Medium,Medium,Medium,Specific customer intent
Varanasi corporate taxi,Use Case/Purpose,Corporate/Business,Varies,₹11-18/km,Medium,Medium,Medium,Specific customer intent
business travel cab Varanasi,Use Case/Purpose,Corporate/Business,Varies,₹11-18/km,Medium,Medium,Medium,Specific customer intent
employee transport Varanasi,Use Case/Purpose,Corporate/Business,Varies,₹11-22/km,Medium,Medium,Medium,Specific customer intent
wedding car rental Varanasi,Use Case/Purpose,Special Events,Varies,Custom,Medium,Medium,Very High,Specific customer intent
luxury cab for wedding Varanasi,Use Case/Purpose,Special Events,Varies,Custom,Medium,Medium,Very High,Specific customer intent
tempo traveller Varanasi,Use Case/Purpose,Special Events,Varies,₹24-38/km,High,Medium,Medium,Specific customer intent
group taxi Varanasi,Use Case/Purpose,Special Events,Varies,"₹2,000-₹7,200",High,Medium,Medium,Specific customer intent
taxi near Assi ghat,Pickup Location,Popular Pickup Points,Local,"₹600-₹1,500",Very High,High,High Frequency,Location-based local SEO
cab near Dashashwamedh ghat,Pickup Location,Popular Pickup Points,Local,"₹600-₹1,500",Very High,High,High Frequency,Location-based local SEO
taxi near Varanasi railway station,Pickup Location,Popular Pickup Points,Local,"₹600-₹1,500",Very High,High,High Frequency,Location-based local SEO
cab near Varanasi Cantt,Pickup Location,Popular Pickup Points,Local,"₹600-₹1,500",High,High,High Frequency,Location-based local SEO
taxi near BHU Varanasi,Pickup Location,Popular Pickup Points,Local,"₹600-₹1,500",High,High,High Frequency,Location-based local SEO
cab near Godowlia Varanasi,Pickup Location,Popular Pickup Points,Local,"₹600-₹1,500",High,High,High Frequency,Location-based local SEO
taxi service in Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,Very High,High,Very High,Core service keywords - highest volume
cab service Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,Very High,High,Very High,Core service keywords - highest volume
taxi booking Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,Very High,High,Very High,Core service keywords - highest volume
cab booking Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,Very High,High,Very High,Core service keywords - highest volume
taxi near me Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,Very High,High,Very High,Core service keywords - highest volume
cab near me Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,Very High,High,Very High,Core service keywords - highest volume
Varanasi taxi fare,Generic/Brand,High Intent Search Terms,All,Varies,High,High,Very High,Core service keywords - highest volume
Varanasi cab rates,Generic/Brand,High Intent Search Terms,All,Varies,High,High,Very High,Core service keywords - highest volume
best taxi service Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,High,High,Very High,Core service keywords - highest volume
cheap cab Varanasi,Generic/Brand,High Intent Search Terms,All,Varies,High,High,Very High,Core service keywords - highest volume
24x7 taxi Varanasi,Time/Availability,Time-Specific,All,Standard rates,Medium,Medium,Medium,Availability-based targeting
night taxi service Varanasi,Time/Availability,Time-Specific,All,Standard rates,Medium,Medium,Medium,Availability-based targeting
early morning cab Varanasi,Time/Availability,Time-Specific,All,Standard rates,Medium,Medium,Medium,Availability-based targeting
